,wage
0,0.00304780683859661
1,0.3286533351888694
2,0.3742110526241313
3,0.769417962747109
4,0.0028834850129259367
5,0.007358781576902278
6,0.021409719132620044
7,0.9362502631326823
8,0.020438873518572404
9,0.029512825918874393
10,0.7056318848051628
11,0.606794814901679
12,0.015565546985419208
13,0.3298589889861557
14,0.7819283530831506
15,0.8302250502831312
16,0.0030982294474961197
17,0.2217365076528444
18,0.015844907100000447
19,0.8862719465622751
20,0.621115171736078
21,0.014201364180345361
22,0.0043967815160477
23,0.07104812478261198
24,0.3905587974970372
25,0.836957294646876
26,0.0020271104297974085
27,0.02091310814671938
28,0.3065719432435225
29,0.060829678716385956
30,0.7607559013096927
31,0.04894845048460993
32,0.07545968368864013
33,0.14560214994025117
34,0.01893505714357199
35,0.3239054046647004
36,0.6297128461190447
37,0.002377256469921011
38,0.002630985909916228
39,0.0036534740185081393
40,0.7445887176355295
41,0.5303257596155905
42,0.26386833296165885
43,0.09041928257342932
44,0.003847427519213761
45,0.252296637451764
46,0.06974783506013972
47,0.8417078456473128
48,0.01312267193202346
49,0.08490469277570147
50,0.0018809079629086673
51,0.019266856099538113
52,0.0030975633604180927
53,0.08034481954650673
54,0.01942636658834994
55,0.005551677873133637
56,0.3301446750328243
57,0.9107360003459937
58,0.7527624588253633
59,0.21671439910881604
60,0.12369681356807503
61,0.0640928384190823
62,0.09680979912767897
63,0.011456311108655665
64,0.06103488178632115
65,0.16743742245116952
66,0.9270741011635296
67,0.0020862753575182523
68,0.05955552883593878
69,0.3653577784698332
70,0.8342671722219358
71,0.5069500224807127
72,0.1802633969249774
73,0.017955453004270403
74,0.4259990734513279
75,0.0010095248725895721
76,0.3588818837204966
77,0.23454246883937538
78,0.36513374275997107
79,0.012667612857691229
80,0.47587099554119056
81,0.05323301398200585
82,0.02254671103997
83,0.7697059570652669
84,0.31035009225590565
85,0.06252457116008002
86,0.0005830054247589711
87,0.45622372973348757
88,0.01971663443468293
89,0.6896943959013948
90,0.12135419480992357
91,0.004673369043616254
92,0.6203141518805458
93,0.20898103346161115
94,0.1816252754180695
95,0.003814636074866319
96,0.026309106627806788
97,0.16502212912369119
98,0.3642648113013845
99,0.00921569443013309
100,0.2087415323601596
101,0.03323697989305096
102,0.006112426406110884
103,0.02188406328948341
104,0.04017492841289663
105,0.01439963191434618
106,0.295931671951648
107,0.03708383540608938
108,0.0017778154020726613
109,0.005066114834557025
110,0.0034954621532179353
111,0.20782262522168957
112,0.306033952732868
113,0.0016386834215014806
114,0.35709326202661545
115,0.016609004349126547
116,0.32324900568772763
117,0.003597152490672673
118,0.05649759861056663
119,0.2115990629956793
120,0.18607393640270786
121,0.0024218833991711585
122,0.0032959538360318344
123,0.0694095876972536
124,0.05075894755572575
125,0.03178086875085159
126,0.8849430376936003
127,0.007562704770168326
128,0.217017474755152
129,0.8093882037105529
130,0.40111808692146483
131,0.01398722735090102
132,0.009513631977805906
133,0.88075112080775
134,0.4204385498996873
135,0.06612732616588642
136,0.3643448280869993
137,0.09856129973369336
138,0.17896958255503442
139,0.04301849793780174
140,0.763439943896654
141,0.0021454467580855154
142,0.7603323805919765
143,0.3540192668618281
144,0.0507575507726619
145,0.040536189712133346
146,0.0688653998436488
147,0.21172383392967475
148,0.9376470173437547
149,0.030924053776026153
150,0.008147634117947318
151,0.06062070863944172
152,0.0433726967121298
153,0.0060248688361115785
154,0.6766706722466006
155,0.008273359173827235
156,0.016181215396257876
157,0.02906031315440999
158,0.061231926413848725
159,0.17185770298018868
160,0.15754565770659326
161,0.19845551870227868
162,0.11402880102901443
163,0.036358343712306514
164,0.7903225950125
165,0.24982480397717272
166,0.6821353217114272
167,0.34322363372161097
168,0.0043727914535523485
169,0.05051914453314453
170,0.3649577152281348
171,0.1809358067976383
172,0.07156160303588392
173,0.3493582872703248
174,0.29659968400176956
175,0.36330589784495576
176,0.24376746091318158
177,0.32788860880427156
178,0.26956213022188397
179,0.3368649359481223
180,0.30183164322073963
181,0.8104228702815927
182,0.06232331829753324
183,0.2439052623301729
184,0.05894315086960355
185,0.1298846436569518
186,0.07328201989638006
187,0.015927026022576972
188,0.1677664996861103
189,0.013131286797158845
190,0.5576940375410557
191,0.23843138329657274
192,0.08522815994504736
193,0.01102273100898209
194,0.02471990028825918
195,0.0396711360086448
196,0.08369928693728731
197,0.8725431262543973
198,0.00856235377064969
199,0.14372232344701696
200,0.4359200172381473
201,0.5277364191446854
202,0.23249100790747293
203,0.22212397272757908
204,0.5242871444875427
205,0.6530569029837471
206,0.09130819482947014
207,0.15282051569409316
208,0.6672684626112214
209,0.3457617916068743
210,0.0014964744406077894
211,0.010686823434821862
212,0.3326123337149098
213,0.6202252574341418
214,0.01566446167233797
215,0.3312723502210422
216,0.020138252673426133
217,0.0015644390522576428
218,0.05983572177463853
219,0.05818458903735116
220,0.5704771377475458
221,0.014729260391741503
222,0.04086222055148218
223,0.371016881786475
224,0.445275453271535
225,0.38507199345511267
226,0.9199421877217457
227,0.35599001870984237
228,0.02462797137097128
229,0.2343863670014327
230,0.0020599839826838445
231,0.8514308814268688
232,0.3224037582266165
233,0.2262945631742514
234,0.15691828843217787
235,0.11505988259661512
236,0.7944871636640792
237,0.02710877552048911
238,0.024596674192653142
239,0.18581238501229624
240,0.005074205532639014
241,0.46396197265810213
242,0.0014192975429371509
243,0.3490848983992837
244,0.0027228686068907254
245,0.34157167122770443
246,0.23178794775484757
247,0.06562427985207328
248,0.5033570894724629
249,0.3144126092825481
250,0.0019242650284180519
251,0.08816996103441611
252,0.37514064113325857
253,0.17856039636579357
254,0.045426721705985613
255,0.012466480903342826
256,0.2956852249764501
257,0.040844561379079984
258,0.023339445873378925
259,0.11769703683239136
260,0.5023251856381534
261,0.11861859948989367
262,0.029306572661118132
263,0.027910737801654706
264,0.10865383601512475
265,0.596768730710845
266,0.3468954897719926
267,0.03945183343941341
268,0.003870437522531588
269,0.046213741328846224
270,0.20712442529902966
271,0.1750129604333522
272,0.3898307397687142
273,0.2514463786652476
274,0.3207729800829656
275,0.002736024860100946
